名称,优先级,关闭,新建 F14,关闭 F13/鼠标后退键,前进 alt+right,下个标签Ctrl+tab,后退 Alt+left,上个标签Ctrl+shift+tab/鼠标前进键,新建窗口 F15,全屏 F11,是否启用 y/n
【IDE】VS Code、Cursor、Trae CN、CodeArts IDE for Cangjie、Comate、Lingma、CodeBuddy、VSCodium,,ahk_class i)^Chrome ahk_exe i)(?:Code|Cursor|Trae CN|codearts-cangjie|comate|Lingma|CodeBuddy|VSCodium).exe,^n,,,^PgDn,,^PgUp,^+n,,
【窗口】Visual Studio,高,^(?:Microsoft Visual Studio 帐户设置|自定义|管理扩展|关于 Microsoft Visual Studio)$ ahk_exe devenv.exe,,Esc,,,,,,,
【标签页】Visual Studio,高,- Microsoft Visual Studio$ ahk_exe devenv.exe,,^F4,,,,,,,
【IDE】Visual Studio,,ahk_exe i)devenv.exe$,^n,,,,,,,,
Netbean 32 位 & Jmeter,,ahk_class i)^SunAwtFrame$ ahk_exe i)javaw.exe,^n,,,^PgDn,,^PgUp,,,
Netbean 64 位,,ahk_class i)^SunAwtFrame$ ahk_exe i)netbeans64.exe,^n,,,^PgDn,,^PgUp,,,
,,,,,,,,,,,
【http调试】Apifox,,ahk_exe i)Apifox.exe,,^w,,,,,,,
ApiPost,,ahk_exe i)ApiPost,,^w,,,,,,,
HTTPie,,ahk_exe i)HTTPie.exe,,^w,,,,,,,
Postman,,ahk_exe i)Postman.exe,,^w,,,,,,,
Reqable,,ahk_exe i)Reqable.exe,,^w,,,,,,,
,,,,,,,,,,,
【窗口】Zeal,高,(?:About Zeal|Docsets|Preferences)$ ahk_exe i)zeal.exe,,Esc,,,,,,,
Zeal,,ahk_exe i)zeal.exe,,^w,,,,,,,
,,,,,,,,,,,
【git】GitHub 桌面版,,ahk_exe i)GitHubDesktop.exe,^n,,,,,,,,
GitKraken,,ahk_exe i)gitkraken.exe,,^w,,,,,,,
SourceTree,,ahk_exe i)SourceTree.exe,,^w,,,,,,,
小乌龟 git 合并程序,,ahk_exe TortoiseGitMerge.exe,^o,,,,,,,,
,,,,,,,,,,,
【终端类】Bitvise SSH Client,,ahk_exe i)BvSsh.exe,,!F4,,,,,,,
Finalshell,,FinalShell$ ahk_class i)^SunAwtFrame$ ahk_exe i)java.exe,!a,!q,,!],,!0,,,
Hyper,,ahk_exe i)Hyper.exe,^+t,^+w,,,,,,,
MobaXterm,,ahk_exe i)MobaXterm ahk_class i)mobaXtermForm$,^!t,^!q,,^!Right,,^!Left,,,
SecureCRT,,ahk_exe i)SecureCRT.exe,,^F4,,,,,,,
Tabby,,ahk_exe i)Tabby.exe,^+t,^+w,,,,,,,
Termius,,ahk_exe i)Termius.exe,^+t,^+w,,!Right,,!Left,,,
WindTerm,,ahk_exe i)WindTerm.exe,^n,^+w,,!],,![,,,
WindowsTerminal,,ahk_exe i)WindowsTerminal.exe,^+t,^+w,,,,,,,
Xshell,,ahk_exe i)Xshell.exe,^n,,,,,,,,
zoc,,ahk_exe i)zoc.exe,!o,!w,,,,,,,
,,,,,,,,,,,
【ftp】Filezilla,,ahk_exe i)filezilla.exe,,^w,,,,,,,
FlashFXP,,ahk_exe i)FlashFXP.exe,F8,,,,,,,,
Xftp,,ahk_exe i)Xftp.exe,^n,,,,,,,,
,,,,,,,,,,,
【标签页】Adobe Acrobat,,- Adobe Acrobat Reader ahk_exe i)Acrobat.exe,,^F4,,,,,,,
【pdf】Adobe Acrobat,,ahk_exe i)Acrobat.exe,^o,,,,,,,,
Right PDF Reader,,ahk_exe i)RightPDFReader.exe,^o,^w,,,,,,,
【标签页】Sumatra PDF,高,^(?:|.+- SumatraPDF)$ ahk_class i)^SUMATRA_PDF_FRAME$,,^F4,,,,,,,
【pdf】Sumatra PDF 主页,,ahk_class i)^SUMATRA_PDF_FRAME$,^o,,,,,,,,
UPDF,,ahk_exe i)UPDF.exe,,^w,,,,,,,
福昕 PDF 编辑器,,ahk_exe i)FoxitPhantom.exe,^o,^F4,,,,,,,
福昕阅读器,,ahk_exe i)FoxitPDFReader.exe,^o,^F4,,,,,,,
极速 PDF,,ahk_exe i)JisuPdf.exe,^o,^w,,,,,,,
金山 PDF 独立版,,ahk_exe i)wpspdf.exe,^n,^F4,,,,,,,
迅读 PDF,,ahk_exe i)MasterPDF.exe ahk_class i)^MASTER_PDF_FRAME$,^o,^w,,,,,,,
【窗口】永中 Office 版式阅读器,高, – 永中OFD版式软件$ ahk_exe i)yozo_Ofd.exe,,^w,,,,,,,
【pdf】永中 Office 版式阅读器,,ahk_exe i)yozo_Ofd.exe,^o,,,,,,,,
可牛 PDF,,万兴PDF阅读器 ahk_exe i)PDFReader.exe,^o,^w,,,,,,,
万兴 PDF 阅读器,,,^o,^F4,,,,,,,
,,,,,,,,,,,
【窗口】LibreOffice,高,ahk_class i)SALSUBFRAME$ ahk_exe i)soffice.bin$,,Esc,,,,,,,
【office】LibreOffice,,ahk_class i)^SALFRAME$ ahk_exe i)soffice.bin$,^n,^F4,,,,,,,
微软 Excel 2007、2021,,ahk_exe i)EXCEL.EXE,^o,,,,,,,,
微软 PPT 2007、2021,,ahk_exe i)POWERPNT.EXE,^o,,,,,,,,
微软 Word 2007、2021,,ahk_exe i)WINWORD.EXE,^o,,,,,,,,
【窗口】ONLYOFFICE,高, - ONLYOFFICE Desktop Editors ahk_exe i)editors.exe,,^F4,,,,,,,
【office】ONLYOFFICE,,Desktop Editors ahk_exe i)editors.exe$,^o,,,,,,,,
WPS Office,,ahk_exe i)wps.exe$,^n,^F4,,,,,,,
WPS表格,,^WPS 表格 - ahk_exe i)et.exe$,^n,^F4,,,,,,,
WPS演示,,^WPS 演示 - ahk_exe i)wpp.exe$,^n,^F4,,,,,,,
【标签页】永中简报 2024,高, - 永中简报$ ahk_exe i)Yozo_Impress.exe,,^F4,,,,,,,
【office】永中简报 2024,,ahk_exe i)Yozo_Impress.exe,^n,,,,,,,,
【标签页】永中表格 2024,高, - 永中表格$ ahk_exe i)Yozo_Calc.exe,,^F4,,,,,,,
【office】永中表格 2024,,ahk_exe i)Yozo_Calc.exe,^n,,,,,,,,
永中文字 2024,,ahk_exe i)Yozo_Writer.exe,^o,,,,,,,,
,,,,,,,,,,,
【看图】2345 看图王,,ahk_exe i)2345PicViewer.exe,^o,,Right,,Left,Left,,,
360AI图片,,ahk_class i)^360AlbumViewer$,^o,,Right,,Left,Left,,,
FSViewer,,ahk_exe i)FSViewer.exe,^o,,,,,,,,
Honeyview、BandiView,,ahk_class i)^(?:HoneyviewClassX|BandiViewClass),^o,,Right,,Left,Left,,,
IrfanView【部分支持】,,^IrfanView$ ahk_class i)^IrfanView$,o,,,,,,,,
ImageGlass,,ahk_exe i)ImageGlass.exe,^o,,Right,,Left,Left,,,
JPEGView,,ahk_exe i)JPEGView.exe,^o,,Right,,Left,Left,,,
PicView ,,ahk_exe PicView.exe,^o,,Right,,Left,Left,,,
pineapple pictures 菠萝看图,,ahk_exe i)ppic.exe,^o,,Right,,Left,Left,,,
Windows 照片查看器,,ahk_class i)^Photo_Lightweight_Viewer,,,Right,,Left,Left,,,
WPS 图片查看器,,WPS图片$ ahk_exe i)photolaunch.exe,^o,Esc,Right,,Left,Left,,,
xnview,,ahk_exe i)xnview.exe,^o,,PgDn,,PgUp,PgUp,,,
win11 照片,,ahk_exe Photos.exe,,,Right,,Left,Left,,,
,,,,,,,,,,,
MindMaster,,ahk_exe i)MindMaster.exe,^n,^F4,,,,,,,
Xmind,,ahk_exe i)Xmind.exe,^n,,,,,,,,
,,,,,,,,,,,
Motrix,,ahk_exe i)Motrix.exe,^n,,,,,,,,
Snipaste,,^Snipaste$ ahk_exe i)Snipaste.exe,,Esc,,,,,,,
Thunderbird 雷鸟,,ahk_exe i)thunderbird.exe,,^w,,,,^PgUp,,,
阿里云客户端,,ahk_exe i)Alibaba Cloud Client.exe,,^w,,,,,,,
稻壳阅读器,,ahk_exe i)DocBox.exe,,^w,,,,,,,
炉石传说,,ahk_exe i)Hearthstone.exe,,Esc,,,,,,,
腾讯 QQ,,ahk_exe i)QQ.exe,,Esc,,,,,,,
微信,,ahk_exe WeChat.exe,,Esc,Right,,Left,,,,
微信内置浏览器,,^微信$ ahk_exe i)WeChatAppEx.exe,,^w,,,,,,,
豆包,,ahk_exe i)Doubao.exe,,^F4,,,,,,,
,,,,,,,,,,,
Python IDLE Shell,,^IDLE Shell$ ahk_exe i)pythonw.exe,^n,,,,,,,,
